epoch,loss,binary_accuracy,mae,val_loss,val_binary_accuracy,val_mae
1.0,0.035126473754644394,0.9580925107002258,0.11228719353675842,0.0968208909034729,0.9977628588676453,0.34436193108558655
2.0,0.005254631396383047,0.9956647157669067,0.03313877061009407,0.0740986317396164,0.9955257177352905,0.3063426613807678
3.0,0.003109399462118745,0.9980732202529907,0.02948293462395668,0.05068642273545265,0.9977628588676453,0.2582407593727112
4.0,0.0062281424179673195,0.9971098303794861,0.018310626968741417,0.03626618906855583,0.991051435470581,0.22466114163398743
5.0,0.00658681895583868,0.9947013258934021,0.022973353043198586,0.025336172431707382,0.9977628588676453,0.16420726478099823
6.0,0.0033629832323640585,0.997591495513916,0.019557826220989227,0.026819869875907898,0.9955257177352905,0.14970871806144714
7.0,0.0041192336939275265,0.9966281056404114,0.017463207244873047,0.01295821089297533,0.9977628588676453,0.10235121846199036
8.0,0.008515025489032269,0.9932562708854675,0.01810026727616787,0.01703372225165367,0.991051435470581,0.0949176475405693
9.0,0.0020525825675576925,0.9980732202529907,0.01593802683055401,0.011751404963433743,0.991051435470581,0.06892480701208115
10.0,0.001996709266677499,0.9980732202529907,0.01109675969928503,0.007378116250038147,0.9932885766029358,0.028604252263903618
11.0,0.0015856282552704215,0.9985548853874207,0.007610679604113102,0.005719727836549282,0.9955257177352905,0.023628350347280502
12.0,0.002785485005006194,0.9995182752609253,0.008209777064621449,0.005897413939237595,0.9932885766029358,0.015900176018476486
