label,precision,recall,f1-score,support
not_match,0.999429874572406,0.997155858930603,0.9982915717539863,1758.0
match,0.9943374858437146,0.9988623435722411,0.996594778660613,879.0
accuracy,0.9977246871444824,0.9977246871444824,0.9977246871444824,0.9977246871444824
macro avg,0.9968836802080603,0.9980091012514221,0.9974431752072996,2637.0
weighted avg,0.9977324116628422,0.9977246871444824,0.9977259740561951,2637.0
